Time,Sensor1,Sensor2
2024-01-04 08:03:02.448539,"['0°', '20.8%']","['0°', '22.9%']"
2024-01-04 09:02:58.553799,"['0°', '22.6%']","['0°', '24%']"
2024-01-04 09:03:02.409893,"['0°', '22.7%']","['0°', '24%']"
2024-01-04 09:04:02.252819,"['0°', '24.4%']","['0°', '24%']"
2024-01-04 09:05:02.149452,"['0°', '25.7%']","['0°', '24.1%']"
2024-01-04 09:06:02.053823,"['0°', '26.5%']","['0°', '24.6%']"
2024-01-04 09:07:01.905403,"['0°', '27.1%']","['0°', '25.6%']"
2024-01-04 09:08:01.880697,"['0°', '27.6%']","['0°', '26.8%']"
2024-01-04 09:09:01.913215,"['0°', '27.5%']","['0°', '27.9%']"
2024-01-04 09:10:01.800140,"['0°', '27.7%']","['0°', '28.5%']"
2024-01-04 09:11:01.779727,"['0°', '28%']","['0°', '28.6%']"
2024-01-04 09:12:01.716620,"['0°', '28%']","['0°', '28.9%']"
2024-01-04 09:13:01.681121,"['0°', '28.1%']","['0°', '29.2%']"
2024-01-04 09:14:01.600683,"['0°', '28%']","['0°', '29.7%']"
2024-01-04 09:15:01.530874,"['0°', '28.1%']","['0°', '29.6%']"
2024-01-04 09:16:02.358724,"['0°', '27.7%']","['0°', '29.1%']"
2024-01-04 09:17:02.369262,"['0°', '27.9%']","['0°', '29.3%']"
2024-01-04 09:18:02.148509,"['0°', '26.4%']","['0°', '27.7%']"
2024-01-04 09:19:01.962433,"['0°', '23.9%']","['0°', '24.6%']"
2024-01-04 09:20:01.932175,"['0°', '24.9%']","['0°', '26%']"
2024-01-04 09:21:01.724175,"['0°', '25.4%']","['0°', '27%']"
2024-01-04 09:22:01.752464,"['0°', '25.2%']","['0°', '26.8%']"
2024-01-04 09:23:01.889796,"['0°', '23.8%']","['0°', '25%']"
2024-01-04 09:24:01.779438,"['0°', '22.7%']","['0°', '23.7%']"
2024-01-04 09:25:01.746018,"['0°', '21.4%']","['0°', '22.2%']"
2024-01-04 09:26:01.620766,"['0°', '22.2%']","['0°', '23.5%']"
2024-01-04 09:27:01.534278,"['0°', '23.8%']","['0°', '25.3%']"
2024-01-04 09:28:01.644248,"['0°', '24.6%']","['0°', '26.4%']"
2024-01-04 09:29:01.499828,"['0°', '24.5%']","['0°', '26.4%']"
2024-01-04 09:30:01.531614,"['0°', '23.9%']","['0°', '25.5%']"
2024-01-04 09:31:01.531605,"['0°', '22.3%']","['0°', '23.5%']"
2024-01-04 09:32:02.383002,"['0°', '23.2%']","['0°', '24.9%']"
2024-01-04 09:33:02.439191,"['0°', '22.7%']","['0°', '24.3%']"
2024-01-04 09:34:02.356545,"['0°', '21.4%']","['0°', '22.6%']"
2024-01-04 09:35:02.255643,"['0°', '20.6%']","['0°', '21.4%']"
2024-01-04 09:36:02.165342,"['0°', '20%']","['0°', '20.9%']"
2024-01-04 09:37:02.198951,"['0°', '21.6%']","['0°', '23.6%']"
2024-01-04 09:38:02.078493,"['0°', '20.9%']","['0°', '22.5%']"
2024-01-04 09:39:01.946183,"['0°', '20.4%']","['0°', '21.5%']"
2024-01-04 09:40:01.955275,"['0°', '21.2%']","['0°', '22.6%']"
2024-01-04 09:41:01.785250,"['0°', '20.2%']","['0°', '21.2%']"
2024-01-04 09:42:01.788308,"['0°', '19.5%']","['0°', '20.3%']"
2024-01-04 09:43:01.695910,"['0°', '19%']","['0°', '19.7%']"
2024-01-04 09:44:01.690308,"['0°', '18.7%']","['0°', '19.1%']"
2024-01-04 09:45:01.514319,"['0°', '18.3%']","['0°', '18.7%']"
2024-01-04 09:46:01.477832,"['0°', '18%']","['0°', '18.4%']"
2024-01-04 09:47:01.620240,"['0°', '17.8%']","['0°', '18.1%']"
2024-01-04 09:48:01.652939,"['0°', '18%']","['0°', '18.5%']"
2024-01-04 09:49:02.204333,"['0°', '20.6%']","['0°', '22.1%']"
2024-01-04 09:50:02.141061,"['0°', '20.7%']","['0°', '22.2%']"
2024-01-04 09:51:02.247063,"['0°', '19.6%']","['0°', '20.8%']"
2024-01-04 09:52:02.161960,"['0°', '20.9%']","['0°', '22.6%']"
2024-01-04 09:53:02.159323,"['0°', '20%']","['0°', '21.3%']"
2024-01-04 09:54:02.067201,"['0°', '19.1%']","['0°', '20.1%']"
2024-01-04 09:55:01.978726,"['0°', '18.9%']","['0°', '19.8%']"
2024-01-04 09:56:02.001110,"['0°', '20.7%']","['0°', '23.5%']"
2024-01-04 09:57:01.909226,"['0°', '22.1%']","['0°', '25.4%']"
