Time,Sensor1
2023-04-02 17:44:01.837329,"['0.3%', '-40.0']"
2023-04-02 17:44:39.446000,"['0.3%', '-40.0']"
2023-04-02 17:45:02.142484,"['0.3%', '-40.0']"
2023-04-02 17:45:32.838266,"['0.3%', '-40.0']"
2023-04-02 17:46:01.371885,"['0.3%', '-40.0']"
2023-04-02 17:46:39.858656,"['0.3%', '-40.0']"
2023-04-02 17:47:01.655058,"['0.3%', '-40.0']"
2023-04-02 17:47:16.448595,"['0.3%', '-40.0']"
2023-04-02 17:48:01.882000,"['0.3%', '-40.0']"
2023-04-02 17:49:02.194462,"['0.3%', '-40.0']"
2023-04-02 17:50:01.418265,"['0.3%', '-40.0']"
2023-04-02 17:51:01.639933,"['0.3%', '-40.0']"
2023-04-02 17:52:01.874822,"['0.3%', '-40.0']"
2023-04-02 17:53:02.171842,"['0.3%', '-40.0']"
2023-04-02 17:54:01.393468,"['0.3%', '-40.0']"
2023-04-02 17:55:01.615476,"['0.3%', '-40.0']"
2023-04-02 17:56:01.842432,"['0.3%', '-40.0']"
2023-04-02 17:57:02.149201,"['0.3%', '-40.0']"
2023-04-02 17:58:01.370764,"['0.3%', '-40.0']"
2023-04-02 17:59:01.594677,"['0.3%', '-40.0']"
2023-04-02 18:00:01.820898,"['0.3%', '-40.0']"
2023-04-02 18:01:02.124436,"['0.3%', '-40.0']"
2023-04-02 18:02:01.372158,"['0.3%', '-40.0']"
2023-04-02 18:03:01.589987,"['0.3%', '-40.0']"
2023-04-02 18:04:01.810486,"['0.3%', '-40.0']"
2023-04-02 18:05:02.099942,"['0.3%', '-40.0']"
2023-04-02 18:06:01.319719,"['0.3%', '-40.0']"
2023-04-02 18:07:01.541309,"['0.3%', '-40.0']"
2023-04-02 18:08:01.765414,"['0.3%', '-40.0']"
2023-04-02 18:09:02.029210,"['0.3%', '-40.0']"
2023-04-02 18:10:01.269074,"['0.3%', '-40.0']"
2023-04-02 18:11:01.544566,"['0.3%', '-40.0']"
2023-04-02 18:12:01.772670,"['0.3%', '-40.0']"
2023-04-02 18:13:02.082342,"['0.3%', '-40.0']"
2023-04-02 18:14:01.316136,"['0.3%', '-40.0']"
2023-04-02 18:15:01.539927,"['0.3%', '-40.0']"
2023-04-02 18:16:01.763664,"['0.3%', '-40.0']"
2023-04-02 18:17:02.041857,"['0.3%', '-40.0']"
2023-04-02 18:18:01.268164,"['0.3%', '-40.0']"
2023-04-02 18:19:01.489621,"['0.3%', '-40.0']"
2023-04-02 18:20:01.715781,"['0.3%', '-40.0']"
2023-04-02 18:22:01.287263,"['0.3%', '-40.0']"
2023-04-02 18:23:01.511289,"['0.3%', '-40.0']"
2023-04-02 18:24:01.736418,"['0.3%', '-40.0']"
2023-04-02 18:25:02.005241,"['0.3%', '-40.0']"
2023-04-02 18:26:01.276828,"['0.3%', '-40.0']"
2023-04-02 18:28:01.697417,"['0.3%', '-40.0']"
2023-04-02 18:29:01.967524,"['0.3%', '-40.0']"
2023-04-02 18:30:01.253205,"['0.3%', '-40.0']"
2023-04-02 18:31:01.474912,"['0.3%', '-40.0']"
2023-04-02 18:36:01.543522,"['0.3%', '-40.0']"
2023-04-02 18:37:01.821766,"['0.3%', '-40.0']"
2023-04-02 18:38:02.127471,"['0.3%', '-40.0']"
2023-04-02 18:39:01.350507,"['0.3%', '-40.0']"
2023-04-02 18:40:01.582102,"['0.3%', '-40.0']"
2023-04-02 18:41:01.810052,"['0.3%', '-40.0']"
2023-04-02 18:42:02.093933,"['0.3%', '-40.0']"
2023-04-02 18:43:01.317638,"['0.3%', '-40.0']"
2023-04-02 18:44:01.543540,"['0.3%', '-40.0']"
2023-04-02 18:45:01.769404,"['0.3%', '-40.0']"
2023-04-02 18:47:01.299976,"['0.3%', '-40.0']"
2023-04-02 18:48:01.526311,"['0.3%', '-40.0']"
2023-04-02 18:49:01.754870,"['0.3%', '-40.0']"
2023-04-02 18:50:02.051338,"['0.3%', '-40.0']"
2023-04-02 18:51:01.303706,"['0.3%', '-40.0']"
2023-04-02 18:52:01.534488,"['0.3%', '-40.0']"
2023-04-02 18:53:01.756520,"['0.3%', '-40.0']"
2023-04-02 18:54:02.038315,"['0.3%', '-40.0']"
2023-04-02 18:55:01.273202,"['0.3%', '-40.0']"
2023-04-02 18:57:01.806104,"['0.3%', '-40.0']"
2023-04-02 18:58:02.104055,"['0.3%', '-40.0']"
2023-04-02 18:59:01.323736,"['0.3%', '-40.0']"
2023-04-02 19:00:01.549732,"['0.3%', '-40.0']"
2023-04-02 19:01:01.795369,"['0.3%', '-40.0']"
2023-04-02 19:02:02.093247,"['0.3%', '-40.0']"
2023-04-02 19:04:01.536421,"['0.3%', '-40.0']"
2023-04-02 19:04:30.419162,"[3, 0]"
2023-04-02 19:04:58.028449,"[3, 0]"
2023-04-02 19:05:01.758119,"[3, 0]"
2023-04-02 19:05:10.872984,3432
2023-04-02 19:06:02.058989,3431
2023-04-02 19:06:09.041383,3430
