Time
2022-11-28 14:52:01.443432
2022-11-28 14:53:03.049661,Raw: 1023 | Friendly: 0%
2022-11-28 14:54:03.446197,Raw: 1023 | Friendly: 0%
2022-11-28 14:55:03.509967,Raw: 1023 | Friendly: 0%
2022-11-28 14:56:03.487403,Raw: 1023 | Friendly: 0%
2022-11-28 14:57:03.480077,Raw: 1023 | Friendly: 0%
2022-11-28 14:58:03.772267,Raw: 1023 | Friendly: 0%
2022-11-28 14:59:03.148652,Raw: 1022 | Friendly: 1%
2022-11-28 15:00:03.198515,Raw: 1021 | Friendly: 1%
2022-11-28 15:00:48.481101,Raw: 1021 | Friendly: 1%
2022-11-28 15:00:59.385357,Raw: 1022 | Friendly: 1%
2022-11-28 15:01:03.426142,Raw: 1021 | Friendly: 1%
2022-11-28 15:01:14.671740,Raw: 1021 | Friendly: 1%
2022-11-28 15:02:03.679713,Raw: 1021 | Friendly: 1%
2022-11-28 15:03:02.990982,Raw: 1022 | Friendly: 1%
2022-11-28 15:04:03.670634,Raw: 1021 | Friendly: 1%
2022-11-28 15:05:03.662400,Raw: 1021 | Friendly: 1%
